epoch,train_loss,F1 Score,Sensitivity,Specifity,Accuracy,AUC-ROC,Mean-IOU
1,0.123082,0.68595,0.768013,0.972349,0.961024,0.97493,0.522013
2,0.097492,0.71192,0.82213,0.971397,0.963124,0.980482,0.552699
3,0.092145,0.737691,0.730695,0.985311,0.971199,0.981664,0.584398
4,0.08928,0.729616,0.776529,0.979342,0.968102,0.98185,0.574327
5,0.08679,0.759271,0.781948,0.983701,0.972519,0.983659,0.611955
6,0.085046,0.756929,0.802083,0.981387,0.971449,0.984314,0.608919
7,0.083575,0.762943,0.803835,0.9822,0.972314,0.984738,0.61674
8,0.082378,0.765098,0.787425,0.984102,0.973202,0.98396,0.619562
9,0.081402,0.769577,0.812561,0.982447,0.973032,0.984691,0.625457
10,0.080598,0.772549,0.786567,0.985347,0.97433,0.984765,0.629393
11,0.079686,0.768056,0.75564,0.987559,0.974705,0.985917,0.62345
12,0.079137,0.77431,0.781247,0.986113,0.974759,0.985789,0.631734
13,0.078218,0.769149,0.783674,0.985091,0.973928,0.985509,0.624893
14,0.07763,0.778253,0.783436,0.986511,0.975256,0.985868,0.637001
15,0.077203,0.768902,0.783939,0.985027,0.973882,0.984643,0.624566
16,0.076503,0.771224,0.786787,0.985121,0.974129,0.985934,0.627636
17,0.075814,0.774738,0.777636,0.986514,0.974937,0.985651,0.632304
18,0.075552,0.779847,0.806316,0.984652,0.974768,0.986125,0.639138
19,0.074898,0.77723,0.782014,0.986487,0.975154,0.986032,0.63563
20,0.074393,0.781028,0.790964,0.986242,0.975419,0.986601,0.640727
21,0.074019,0.777385,0.750414,0.989427,0.97618,0.986734,0.635838
22,0.073328,0.774395,0.80078,0.984312,0.97414,0.985836,0.631847
23,0.073097,0.782422,0.79128,0.986425,0.975609,0.986446,0.642605
24,0.072458,0.778991,0.766647,0.988167,0.97589,0.986653,0.63799
25,0.072045,0.783261,0.791801,0.986504,0.975713,0.986605,0.643738
26,0.071508,0.783822,0.803671,0.985509,0.97543,0.986848,0.644496
27,0.07095,0.781713,0.777159,0.987608,0.975944,0.98638,0.641649
28,0.070447,0.784972,0.781795,0.987672,0.976261,0.98667,0.646052
29,0.070042,0.78271,0.776426,0.987824,0.976107,0.986673,0.642994
30,0.069635,0.785543,0.798324,0.986257,0.975841,0.987397,0.646827
31,0.069048,0.787051,0.808473,0.985568,0.975753,0.987286,0.648874
32,0.068682,0.787516,0.786244,0.987647,0.976485,0.987699,0.649507
